COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Chile,JAN2010,January 2010,2010,1,January,Total combustible fuels,2472.143,7,36249.001,,0.5171402626259541
Chile,JAN2010,January 2010,2010,1,January,Coal,1287.305,8,15974.071,,0.2692875152366606
Chile,JAN2010,January 2010,2010,1,January,Oil,382.032,9,8022.08,,0.07991614110167515
Chile,JAN2010,January 2010,2010,1,January,Natural gas,645.119,10,10124.676,,0.13495053040418492
Chile,JAN2010,January 2010,2010,1,January,Combustible renewables,157.687,11,2128.172,,0.032986075883433455
Chile,JAN2010,January 2010,2010,1,January,Not specified,9.333,13,111.996,,0.00195234259146337
Chile,JAN2010,January 2010,2010,1,January,Net electricity production,4780.411,14,58334.001,,1
Chile,JAN2010,January 2010,2010,1,January,Total imports,140.707,15,958,,0.0294340800403982
Chile,JAN2010,January 2010,2010,1,January,Electricity supplied,4921.118,17,59292.001,,1.0294340800403983
Chile,JAN2010,January 2010,2010,1,January,Distribution losses,412.986,19,4967,,0.08639131656252987
Chile,JAN2010,January 2010,2010,1,January,Final consumption,4508.132,20,54325.001,,0.9430427634778682
Chile,JAN2010,January 2010,2010,1,January,Electricity trade,-140.707,21,-958,,-0.0294340800403982
Chile,JAN2010,January 2010,2010,1,January,Renewables,2456.621,22,24101.174,,0.5138932614789816
Chile,JAN2010,January 2010,2010,1,January,Non-renewables,2323.789,23,34232.823,,0.48610652933398407
Chile,JAN2010,January 2010,2010,1,January,Others,391.365,24,8134.076,,0.08186848369313852
Chile,JAN2010,January 2010,2010,1,January,Other renewables aggregated,157.687,25,2128.172,,0.032986075883433455
Chile,JAN2010,January 2010,2010,1,January,Low carbon,2465.954,26,24213.17,,0.515845604070445
Chile,JAN2010,January 2010,2010,1,January,Fossil fuels,2323.789,27,34232.823,,0.48610652933398407
Czech Republic,JAN2010,January 2010,2010,1,January,Hydro,273.1,1,3366,,0.035157611275255775
Czech Republic,JAN2010,January 2010,2010,1,January,Wind,12.333,2,334.999,,0.0015876924930711442
Czech Republic,JAN2010,January 2010,2010,1,January,Solar,6.205,3,612.002,,0.0007988025557047311
Czech Republic,JAN2010,January 2010,2010,1,January,Nuclear,2673.869,6,26346.003,,0.34422133615143496
Czech Republic,JAN2010,January 2010,2010,1,January,Total combustible fuels,4795.87,7,47564.998,,0.6173977780544156
Czech Republic,JAN2010,January 2010,2010,1,January,Coal,4497.574,8,44230.318,,0.5789965520823771
Czech Republic,JAN2010,January 2010,2010,1,January,Oil,20.072,9,176.959,,0.0025839750037236686
Czech Republic,JAN2010,January 2010,2010,1,January,Natural gas,115.037,10,1211.156,,0.014809323062144265
